"Compound","Effect","Metabolite","Plate","Dose","SampleType","Well","ApexIntensity"
"Phenylphenol","Non","Thymidine","C166",100,"cells","e11",8352.9990234375
"Phenylphenol","Non","Thymidine","C166",10,"cells","f9",15369.240234375
"Phenylphenol","Non","Lactate","C166",0.03,"cells","e4",14661.1796875
"Phenylphenol","Non","Lactate.D3","C166",100,"cells","f11",9626.646484375
"Phenylphenol","Non","Lactate.D3","C166",0.3,"media","h6",10930.9658203125
"Phenylphenol","Non","Lactate.D3","C166",3,"cells","f8",10220.109375
"Phenylphenol","Non","Lactate.D3","C166",1,"cells","f7",11121.7705078125
"Phenylphenol","Non","Thymidine","C166",30,"cells","f10",12486.0771484375
"Phenylphenol","Non","Arachidonic Acid","C166",0.1,"cells","g5",342166.96875
"Phenylphenol","Non","Arachidonic Acid","C166",0.1,"media","h5",334120.46875
"Phenylphenol","Non","Citrulline-D4","C166",0.03,"cells","f4",23986.85546875
"Phenylphenol","Non","Thymidine","C166",0.03,"cells","g4",17808.919921875
"Phenylphenol","Non","Lactate.D3","C166",3,"media","h8",11907.2763671875
"Phenylphenol","Non","Lactate","C166",1,"media","h7",14767.4501953125
"Phenylphenol","Non","Thymidine","C166",0.1,"media","h5",3356.482421875
"Phenylphenol","Non","Lactate","C166",1,"cells","g7",13284.70703125
"Phenylphenol","Non","Thymidine.D4","C166",0.03,"cells","f4",50181.2890625
"Phenylphenol","Non","Citrulline-D4","C166",0.3,"media","h6",26531.603515625
"Phenylphenol","Non","Thymidine.D4","C166",3,"cells","g8",59897.47265625
"Phenylphenol","Non","Citrulline-D4","C166",10,"cells","f9",26770.005859375
"Phenylphenol","Non","Lactate.D3","C166",1,"cells","g7",10053.16015625
"Phenylphenol","Non","Thymidine.D4","C166",3,"cells","f8",66259.96875
"Phenylphenol","Non","Citrulline-D4","C166",0.1,"cells","g5",24545.755859375
"Phenylphenol","Non","Lactate","C166",3,"media","h8",12729.1865234375
"Phenylphenol","Non","Thymidine","C166",0.3,"cells","e6",18425.646484375
"Phenylphenol","Non","Citrulline-D4","C166",0.03,"cells","g4",27288.431640625
"Phenylphenol","Non","2'-deoxycytidine","C166",30,"media","h10",756.287292480469
"Phenylphenol","Non","Lactate","C166",1,"cells","f7",12673.3173828125
"Phenylphenol","Non","Citrulline-D4","C166",0.1,"media","h5",26665.517578125
"Phenylphenol","Non","Lactate.D3","C166",100,"cells","e11",10598.2177734375
"Phenylphenol","Non","Thymidine.D4","C166",0.1,"cells","e5",54812.30859375
"Phenylphenol","Non","Lactate.D3","C166",0.03,"cells","g4",9928.98828125
"Phenylphenol","Non","Lactate.D3","C166",1,"cells","e7",10196.884765625
"Phenylphenol","Non","Citrulline-D4","C166",10,"cells","g9",24308.197265625
"Phenylphenol","Non","Thymidine.D4","C166",3,"cells","e8",47410.5078125
"Phenylphenol","Non","Thymidine","C166",30,"cells","g10",12475.58203125
"Phenylphenol","Non","Arachidonic Acid","C166",30,"media","h10",296342.21875
"Phenylphenol","Non","Lactate","C166",3,"cells","g8",11320.619140625
"Phenylphenol","Non","Arachidonic Acid","C166",30,"cells","f10",309999.625
"Phenylphenol","Non","Lactate","C166",3,"cells","f8",13755.296875
"Phenylphenol","Non","Lactate","C166",1,"cells","e7",14810.9697265625
"Phenylphenol","Non","Lactate.D3","C166",100,"cells","g11",9063.8974609375
"Phenylphenol","Non","Lactate.D3","C166",3,"cells","g8",11008.5
"Phenylphenol","Non","Thymidine.D4","C166",1,"cells","f7",46685.734375
"Phenylphenol","Non","Thymidine","C166",0.3,"cells","f6",12680.3447265625
"Phenylphenol","Non","Citrulline-D4","C166",3,"media","h8",25747.193359375
"Phenylphenol","Non","Lactate.D3","C166",0.03,"cells","e4",11033.36328125
"Phenylphenol","Non","Lactate.D3","C166",1,"media","h7",11141.228515625
"Phenylphenol","Non","Thymidine.D4","C166",3,"media","h8",62103.48046875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.3,"media","h6",767.357360839844
"Phenylphenol","Non","Arachidonic Acid","C166",30,"cells","e10",343056.875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.3,"cells","g6",5166.6171875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.1,"media","h5",951.219055175781
"Phenylphenol","Non","2'-deoxycytidine","C166",0.1,"cells","g5",5774.2626953125
"Phenylphenol","Non","Thymidine","C166",3,"cells","e8",13530.283203125
"Phenylphenol","Non","Lactate","C166",30,"cells","e10",13934.587890625
"Phenylphenol","Non","Thymidine","C166",0.1,"cells","g5",14625.0634765625
"Phenylphenol","Non","Thymidine","C166",100,"cells","f11",10133.5849609375
"Phenylphenol","Non","Citrulline-D4","C166",0.3,"cells","g6",23865.826171875
"Phenylphenol","Non","Lactate","C166",0.03,"cells","f4",14072.8134765625
"Phenylphenol","Non","Lactate","C166",10,"cells","g9",14178.56640625
"Phenylphenol","Non","Citrulline-D4","C166",0.3,"cells","f6",24504.6015625
"Phenylphenol","Non","2'-deoxycytidine","C166",3,"cells","g8",4166.390625
"Phenylphenol","Non","Arachidonic Acid","C166",0.03,"cells","e4",362431.3125
"Phenylphenol","Non","Lactate","C166",0.3,"cells","e6",14386.40625
"Phenylphenol","Non","Lactate","C166",0.3,"cells","f6",13677.283203125
"Phenylphenol","Non","2'-deoxycytidine","C166",3,"media","h8",777.557678222656
"Phenylphenol","Non","2'-deoxycytidine","C166",0.1,"cells","e5",4667.17822265625
"Phenylphenol","Non","2'-deoxycytidine","C166",10,"media","h9",749.68994140625
"Phenylphenol","Non","Citrulline-D4","C166",3,"cells","g8",26744.203125
"Phenylphenol","Non","Thymidine.D4","C166",0.03,"cells","g4",59103.484375
"Phenylphenol","Non","2'-deoxycytidine","C166",1,"cells","g7",4363.12548828125
"Phenylphenol","Non","Citrulline-D4","C166",30,"cells","e10",25122.099609375
"Phenylphenol","Non","Thymidine.D4","C166",30,"cells","f10",45656.50390625
"Phenylphenol","Non","Arachidonic Acid","C166",0.3,"media","h6",344485.65625
"Phenylphenol","Non","Lactate.D3","C166",0.03,"cells","f4",10746.126953125
"Phenylphenol","Non","Thymidine.D4","C166",100,"cells","e11",44219.18359375
"Phenylphenol","Non","Arachidonic Acid","C166",1,"cells","g7",332523.65625
"Phenylphenol","Non","Lactate.D3","C166",100,"media","h11",9296.740234375
"Phenylphenol","Non","Thymidine.D4","C166",1,"media","h7",57906.8984375
"Phenylphenol","Non","2'-deoxycytidine","C166",0.03,"cells","f4",4664.6337890625
"Phenylphenol","Non","Lactate.D3","C166",30,"media","h10",11162.544921875
"Phenylphenol","Non","Thymidine.D4","C166",100,"media","h11",51420.73046875
"Phenylphenol","Non","2'-deoxycytidine","C166",10,"cells","g9",4334.8154296875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.03,"cells","e4",5214.15478515625
"Phenylphenol","Non","Lactate","C166",30,"cells","f10",14286.873046875
"Phenylphenol","Non","Arachidonic Acid","C166",0.3,"cells","f6",316916.40625
"Phenylphenol","Non","Lactate.D3","C166",0.03,"media","h4",11880.0009765625
"Phenylphenol","Non","Lactate","C166",10,"cells","f9",11405.626953125
"Phenylphenol","Non","Thymidine","C166",0.03,"cells","f4",13746.5302734375
"Phenylphenol","Non","2'-deoxycytidine","C166",30,"cells","e10",4255.66357421875
"Phenylphenol","Non","Lactate","C166",10,"media","h9",13815.4560546875
"Phenylphenol","Non","Thymidine.D4","C166",0.1,"cells","g5",58208.6328125
"Phenylphenol","Non","Thymidine","C166",3,"media","h8",3761.51171875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.1,"cells","f5",4567.23046875
"Phenylphenol","Non","Citrulline-D4","C166",3,"cells","f8",26662.28125
"Phenylphenol","Non","Arachidonic Acid","C166",1,"media","h7",325457.375
"Phenylphenol","Non","2'-deoxycytidine","C166",10,"cells","f9",4709.2685546875
"Phenylphenol","Non","Arachidonic Acid","C166",1,"cells","e7",340361.15625
"Phenylphenol","Non","Thymidine.D4","C166",0.03,"media","h4",45562.96484375
"Phenylphenol","Non","2'-deoxycytidine","C166",1,"cells","f7",4134.8662109375
"Phenylphenol","Non","2'-deoxycytidine","C166",1,"media","h7",666.351623535156
"Phenylphenol","Non","Arachidonic Acid","C166",0.3,"cells","g6",325129.5
"Phenylphenol","Non","Thymidine.D4","C166",0.1,"cells","f5",66916.625
"Phenylphenol","Non","Lactate","C166",100,"cells","f11",60061.30078125
"Phenylphenol","Non","Arachidonic Acid","C166",3,"media","h8",343505.1875
"Phenylphenol","Non","Thymidine","C166",1,"cells","f7",14168.4931640625
"Phenylphenol","Non","Lactate","C166",0.1,"media","h5",12521.8876953125
"Phenylphenol","Non","2'-deoxycytidine","C166",3,"cells","e8",4423.66162109375
"Phenylphenol","Non","Thymidine.D4","C166",1,"cells","g7",53266.19140625
"Phenylphenol","Non","Thymidine","C166",1,"cells","e7",17048.630859375
"Phenylphenol","Non","Lactate","C166",0.03,"media","h4",27411.236328125
"Phenylphenol","Non","2'-deoxycytidine","C166",0.03,"cells","g4",5139.9375
"Phenylphenol","Non","Thymidine.D4","C166",100,"cells","f11",57119.92578125
"Phenylphenol","Non","Thymidine","C166",100,"cells","g11",10253.072265625
"Phenylphenol","Non","Lactate","C166",0.03,"cells","g4",11540.9765625
"Phenylphenol","Non","Lactate","C166",100,"media","h11",16102.7666015625
"Phenylphenol","Non","Thymidine","C166",0.3,"cells","g6",14120.1044921875
"Phenylphenol","Non","Lactate.D3","C166",10,"cells","g9",9118.529296875
"Phenylphenol","Non","Citrulline-D4","C166",100,"cells","f11",26169.50390625
"Phenylphenol","Non","Lactate.D3","C166",0.3,"cells","f6",9762.2705078125
"Phenylphenol","Non","Lactate.D3","C166",0.3,"cells","g6",10592.587890625
"Phenylphenol","Non","Arachidonic Acid","C166",1,"cells","f7",320701.21875
"Phenylphenol","Non","2'-deoxycytidine","C166",10,"cells","e9",4414.66455078125
"Phenylphenol","Non","Citrulline-D4","C166",1,"cells","e7",24990.6875
"Phenylphenol","Non","Lactate.D3","C166",30,"cells","f10",9289.21875
"Phenylphenol","Non","Lactate.D3","C166",30,"cells","g10",10235.2685546875
"Phenylphenol","Non","Lactate","C166",30,"cells","g10",13783.3818359375
"Phenylphenol","Non","Arachidonic Acid","C166",100,"cells","e11",371457.25
"Phenylphenol","Non","Arachidonic Acid","C166",100,"cells","g11",374145.21875
"Phenylphenol","Non","2'-deoxycytidine","C166",30,"cells","f10",5160.7509765625
"Phenylphenol","Non","Lactate","C166",100,"cells","g11",53970.26953125
"Phenylphenol","Non","Lactate","C166",0.3,"cells","g6",13215.416015625
"Phenylphenol","Non","Lactate","C166",0.1,"cells","g5",12875.123046875
"Phenylphenol","Non","Thymidine.D4","C166",0.1,"media","h5",59534.203125
"Phenylphenol","Non","Thymidine","C166",3,"cells","g8",15706.5185546875
"Phenylphenol","Non","Citrulline-D4","C166",100,"cells","e11",25968.4921875
"Phenylphenol","Non","Lactate","C166",0.1,"cells","e5",12842.0234375
"Phenylphenol","Non","Thymidine.D4","C166",30,"cells","g10",47290.39453125
"Phenylphenol","Non","Lactate.D3","C166",10,"media","h9",9628.548828125
"Phenylphenol","Non","Lactate.D3","C166",0.1,"cells","f5",10247.5810546875
"Phenylphenol","Non","Lactate","C166",30,"media","h10",19569.46875
"Phenylphenol","Non","Lactate","C166",10,"cells","e9",13324.0478515625
"Phenylphenol","Non","Citrulline-D4","C166",0.1,"cells","e5",27368.779296875
"Phenylphenol","Non","Lactate.D3","C166",10,"cells","e9",9083.0068359375
"Phenylphenol","Non","Lactate","C166",100,"cells","e11",73004.75
"Phenylphenol","Non","Arachidonic Acid","C166",3,"cells","e8",342200.6875
"Phenylphenol","Non","Citrulline-D4","C166",1,"media","h7",26018.919921875
"Phenylphenol","Non","Citrulline-D4","C166",100,"cells","g11",25672.525390625
"Phenylphenol","Non","Thymidine.D4","C166",1,"cells","e7",64791.72265625
"Phenylphenol","Non","Lactate.D3","C166",0.3,"cells","e6",9491.2626953125
"Phenylphenol","Non","Thymidine.D4","C166",30,"media","h10",46729.109375
"Phenylphenol","Non","Arachidonic Acid","C166",100,"cells","f11",390981.0625
"Phenylphenol","Non","Citrulline-D4","C166",0.3,"cells","e6",26463.455078125
"Phenylphenol","Non","2'-deoxycytidine","C166",30,"cells","g10",3672.83569335938
"Phenylphenol","Non","Thymidine","C166",1,"media","h7",3529.42016601562
"Phenylphenol","Non","Thymidine","C166",0.3,"media","h6",3440.6318359375
"Phenylphenol","Non","Thymidine","C166",0.03,"cells","e4",17157.3671875
"Phenylphenol","Non","Citrulline-D4","C166",100,"media","h11",25625.884765625
"Phenylphenol","Non","Arachidonic Acid","C166",3,"cells","g8",313275.5
"Phenylphenol","Non","Thymidine","C166",100,"media","h11",3557.30590820312
"Phenylphenol","Non","Citrulline-D4","C166",1,"cells","f7",25004.96875
"Phenylphenol","Non","2'-deoxycytidine","C166",0.03,"media","h4",677.974975585938
"Phenylphenol","Non","Arachidonic Acid","C166",100,"media","h11",296675.5625
"Phenylphenol","Non","Thymidine.D4","C166",100,"cells","g11",58515.453125
"Phenylphenol","Non","Thymidine","C166",1,"cells","g7",15378.38671875
"Phenylphenol","Non","Lactate.D3","C166",0.1,"media","h5",10971.923828125
"Phenylphenol","Non","Lactate.D3","C166",0.1,"cells","e5",10605.255859375
"Phenylphenol","Non","Lactate","C166",0.3,"media","h6",12829.7529296875
"Phenylphenol","Non","Thymidine.D4","C166",0.3,"media","h6",70635.2890625
"Phenylphenol","Non","Lactate.D3","C166",30,"cells","e10",10535.046875
"Phenylphenol","Non","Thymidine.D4","C166",0.3,"cells","f6",49549.11328125
"Phenylphenol","Non","Thymidine.D4","C166",0.3,"cells","g6",53434.25390625
"Phenylphenol","Non","Thymidine","C166",3,"cells","f8",18547.80859375
"Phenylphenol","Non","Lactate.D3","C166",0.1,"cells","g5",11646.4521484375
"Phenylphenol","Non","Arachidonic Acid","C166",3,"cells","f8",337830.40625
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",0.03,"cells","b4",91495.796875
"Fluorouracil","Cardiotoxic","Thymidine","C161",10,"cells","b9",19560.587890625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",0.03,"cells","b4",56309.85546875
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",0.03,"media","a4",94224.4296875
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",0.03,"media","a4",11326.50390625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",0.03,"cells","c4",53662.62890625
"Fluorouracil","Cardiotoxic","Lactate","C161",3,"cells","c8",19923.626953125
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",0.03,"media","a4",54473.28125
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",0.03,"cells","c4",89304.0546875
"Fluorouracil","Cardiotoxic","Thymidine","C161",10,"cells","c9",20327.796875
"Fluorouracil","Cardiotoxic","Lactate","C161",10,"media","a9",17471.47265625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.3,"media","a6",803.451477050781
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",0.1,"media","a5",55439.7421875
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",0.03,"cells","d4",8960.3173828125
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",3,"cells","c8",10456.7421875
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",0.03,"cells","c4",8848.0166015625
"Fluorouracil","Cardiotoxic","Lactate","C161",1,"cells","b7",26369.166015625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",0.03,"cells","d4",53211.16796875
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",10,"media","a9",57642.83203125
"Fluorouracil","Cardiotoxic","Lactate","C161",1,"cells","d7",16464.00390625
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",3,"cells","c8",88697.3125
"Fluorouracil","Cardiotoxic","Lactate","C161",3,"cells","b8",20921.90234375
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",3,"cells","d8",94159.953125
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",10,"media","a9",96999.578125
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.1,"media","a5",938.652648925781
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",0.03,"cells","b4",9169.8349609375
"Fluorouracil","Cardiotoxic","Thymidine","C161",10,"media","a9",5518.7001953125
"Fluorouracil","Cardiotoxic","Lactate","C161",1,"media","a7",16347.3837890625
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",3,"cells","b8",10105.3759765625
"Fluorouracil","Cardiotoxic","Lactate","C161",0.1,"cells","d5",13884.8876953125
"Fluorouracil","Cardiotoxic","Thymidine","C161",0.03,"cells","d4",21076.70703125
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",30,"cells","d10",1953.01574707031
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",3,"cells","c8",57788.11328125
"Fluorouracil","Cardiotoxic","Lactate","C161",10,"cells","d9",17137.2109375
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",0.1,"media","a5",93175.9765625
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",3,"cells","d8",10941.5400390625
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",30,"cells","d10",91208.4609375
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",30,"cells","c10",2425.43359375
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",0.03,"cells","d4",279139.21875
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",10,"cells","b9",55451.6171875
"Fluorouracil","Cardiotoxic","Lactate","C161",3,"media","a8",19181.59375
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.3,"cells","d6",6962.4150390625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.3,"cells","c6",7479.05029296875
"Fluorouracil","Cardiotoxic","Lactate","C161",0.3,"cells","b6",17745.705078125
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",1,"media","a7",11045.27734375
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",10,"cells","b9",10715.0654296875
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.1,"cells","c5",6366.83740234375
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",3,"cells","d8",57495.4453125
"Fluorouracil","Cardiotoxic","Thymidine","C161",10,"cells","d9",20853.837890625
"Fluorouracil","Cardiotoxic","Thymidine","C161",0.03,"media","a4",5939.853515625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",1,"cells","c7",6428.60791015625
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",100,"media","a11",90311.8828125
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",100,"media","a11",56140.06640625
"Fluorouracil","Cardiotoxic","Lactate","C161",3,"cells","d8",16698.828125
"Fluorouracil","Cardiotoxic","Lactate","C161",1,"cells","c7",20433.44140625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.3,"cells","b6",5578.17578125
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",0.1,"cells","d5",282559.625
"Fluorouracil","Cardiotoxic","Thymidine","C161",1,"cells","d7",22505.4296875
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",1,"media","a7",63278.984375
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",30,"cells","c10",360907.15625
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",30,"cells","d10",361534
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",1,"cells","c7",95849.765625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.1,"cells","d5",8221.169921875
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",30,"media","a10",781.299682617188
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",10,"cells","c9",336099.6875
"Fluorouracil","Cardiotoxic","Lactate","C161",100,"cells","c11",17274.048828125
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",10,"cells","d9",61249.0859375
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",3,"cells","b8",95917.1015625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",10,"cells","c9",59003.81640625
"Fluorouracil","Cardiotoxic","Lactate","C161",0.3,"media","a6",16028.2919921875
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",10,"cells","b9",320240.65625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",3,"cells","b8",56459.1484375
"Fluorouracil","Cardiotoxic","Thymidine","C161",100,"media","a11",5061.96435546875
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",0.1,"cells","b5",5601.3681640625
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",0.1,"cells","b5",257484.59375
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",10,"cells","c9",11065.115234375
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",1,"cells","b7",6697.86181640625
"Fluorouracil","Cardiotoxic","Lactate","C161",100,"cells","d11",18138.421875
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",1,"cells","c7",273917.40625
"Fluorouracil","Cardiotoxic","Thymidine","C161",0.03,"cells","b4",19456.666015625
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",1,"cells","b7",322859.5625
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",10,"media","a9",342503
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",100,"cells","b11",93602.2421875
"Fluorouracil","Cardiotoxic","Lactate","C161",0.1,"cells","c5",16044.009765625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",100,"cells","c11",61122.6328125
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",1,"cells","b7",58190.24609375
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",10,"media","a9",11572.740234375
"Fluorouracil","Cardiotoxic","Lactate","C161",100,"cells","b11",17632.5625
"Fluorouracil","Cardiotoxic","Lactate","C161",100,"media","a11",17788.41015625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",30,"cells","b10",2112.96948242188
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",30,"cells","c10",93790.359375
"Fluorouracil","Cardiotoxic","Thymidine","C161",3,"cells","d8",23431.119140625
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",10,"cells","d9",94522.703125
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",0.03,"cells","c4",267713.59375
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",0.1,"media","a5",304238.15625
"Fluorouracil","Cardiotoxic","Thymidine","C161",3,"cells","c8",21455.359375
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",3,"media","a8",60193.2890625
"Fluorouracil","Cardiotoxic","2'-deoxycytidine","C161",10,"media","a9",893.844604492188
"Fluorouracil","Cardiotoxic","Thymidine","C161",0.3,"cells","c6",21493.31640625
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",100,"cells","d11",54976.32421875
"Fluorouracil","Cardiotoxic","Arachidonic Acid","C161",30,"media","a10",354849.5625
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",1,"cells","c7",10955.00390625
"Fluorouracil","Cardiotoxic","Lactate","C161",10,"cells","b9",16318.75
"Fluorouracil","Cardiotoxic","Thymidine.D4","C161",3,"media","a8",93188.5390625
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",3,"media","a8",11829.71875
"Fluorouracil","Cardiotoxic","Lactate","C161",30,"media","a10",17595.6484375
"Fluorouracil","Cardiotoxic","Lactate","C161",0.03,"cells","d4",14638.12109375
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",100,"media","a11",10647.1474609375
"Fluorouracil","Cardiotoxic","Lactate","C161",0.03,"cells","c4",13683.734375
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",10,"cells","d9",11296.9208984375
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",30,"cells","d10",11225.37109375
"Fluorouracil","Cardiotoxic","Citrulline-D4","C161",1,"cells","c7",55594.55859375
"Fluorouracil","Cardiotoxic","Thymidine","C161",100,"cells","d11",20166.38671875
"Fluorouracil","Cardiotoxic","Lactate.D3","C161",1,"cells","d7",9829.08203125
"Fluorouracil","Cardiotoxic","Thymidine","C161",0.03,"cells","c4",20686.70703125
